,index,Original_term,term,component,n,E,P,A,E_std,P_std,A_std
2086,2087,idolize,idolizes,behavior,12,-0.14,-0.01,-0.01,0.19,0.12,0.11
2087,2088,ignoble,ignoble,modifier,1,-1.81,-0.58,0.11,0.22,0.17,0.14
2088,2089,ignoramus,ignoramus,identity,10,-0.89,0.02,-0.29,0.2,0.24,0.22
2089,2090,ignorant,ignorant,modifier,11,-2.5,-2.08,-0.14,0.19,0.23,0.14
2090,2091,ignore,ignores,behavior,21,-1.13,0.67,-1.32,0.22,0.08,0.18
2091,2092,ill_at_ease,ill at ease,modifier,14,-1.76,-0.84,-1.21,0.28,0.17,0.15
2092,2093,illegal_worker,illegal worker,identity,1,-0.87,-0.42,0.42,0.31,0.14,0.11
2093,2094,illegitimate_child,illegitimate child,identity,13,0.12,-1.44,0.17,0.25,0.18,0.16
2094,2095,illiterate,illiterate,identity,3,-1.1,-1.09,-0.56,0.19,0.16,0.14
2095,2096,illuminary,illuminary,identity,1,0.21,0.11,-0.75,0.19,0.18,0.18
2096,2097,imaginative,imaginative,modifier,12,2.93,2.36,0.48,0.22,0.14,0.12
2097,2098,imam,imam,identity,6,0.03,1.03,-0.15,0.18,0.13,0.12
2098,2099,imbecile,imbecile,identity,10,-2.01,-0.88,-0.01,0.19,0.16,0.14
2099,2100,imitate,imitates,behavior,20,-0.7,-0.16,0.54,0.17,0.11,0.09
2100,2101,immature,immature,modifier,17,-2.12,-1.52,1.33,0.2,0.21,0.18
2101,2102,immigrant,immigrant,identity,8,0.5,-0.81,-0.25,0.14,0.16,0.09
2102,2103,immigration_officer,immigration officer,identity,8,0.14,1.49,0.7,0.12,0.12,0.09
2103,2104,immoral,immoral,modifier,17,-2.38,-0.39,0.79,0.24,0.14,0.13
2104,2105,imp,imp,identity,4,-0.99,-0.29,0.18,0.22,0.16,0.14
2105,2106,impassion,impassions,behavior,1,-1.27,0.85,0.61,0.22,0.08,0.09
2106,2107,impatient,impatient,modifier,17,-1.47,-0.35,0.5,0.19,0.13,0.14
2107,2108,impatient_translation_1,impatient translation 1,modifier,2,-1.46,-0.42,0.37,0.21,0.16,0.17
2108,2109,impatient_translation_2,,modifier,2,,,,,,
2109,2110,impede,impedes,behavior,12,-1.05,1.04,0.26,0.19,0.08,0.09
2110,2111,implicate,implicates,behavior,7,-0.62,0.75,0.43,0.17,0.07,0.09
2111,2112,implore,implores,behavior,13,1.03,1.1,0.63,0.17,0.07,0.08
2112,2113,impolite,impolite,modifier,10,-2.61,-0.15,1.29,0.23,0.12,0.13
2113,2114,impose_on,imposes on,behavior,1,-1.43,1.36,0.37,0.21,0.08,0.1
2114,2115,imposing_apartial_curfew,imposes  apartial curfew,behavior,1,-1.28,1.44,0.58,0.23,0.09,0.1
2115,2116,imposing_atotal_curfew,imposes atotal curfew,behavior,1,-1.43,1.31,0.59,0.23,0.1,0.1
2116,2117,imposing_blockades,imposes blockades,behavior,1,-1.68,1.37,0.55,0.2,0.08,0.1
2117,2118,imposing_economic_sanctions,imposes economic sanctions,behavior,1,-1.33,1.65,0.46,0.21,0.08,0.09
2118,2119,imposing_martial_law,imposes martial law,behavior,1,-1.35,1.53,0.61,0.18,0.09,0.09
2119,2120,imposing_partial_censorship,imposes partial censorship,behavior,1,-1.42,1.5,0.61,0.18,0.1,0.09
2120,2121,imposter,imposter,identity,1,-2.46,-0.18,-0.15,0.25,0.14,0.13
2121,2122,impotent,impotent,modifier,3,-2.13,-0.85,-0.14,0.18,0.14,0.14
2122,2123,impractical,impractical,modifier,9,-1.53,-1.07,0.47,0.18,0.17,0.12
2123,2124,impressionable,impressionable,modifier,11,1.22,0.87,0.24,0.18,0.14,0.12
2124,2125,imprison,imprisons,behavior,15,-1.09,2.25,0.17,0.23,0.1,0.1
2125,2126,imprison_incarcerate_jail,imprisons incarcerate jail,behavior,2,-1.46,2.23,0.32,0.23,0.1,0.1
2126,2127,impudent,impudent,modifier,1,-1.79,-0.31,1.12,0.21,0.13,0.13
2127,2128,impulsive,impulsive,modifier,9,-0.61,0.16,2.07,0.21,0.14,0.16
2128,2129,in_law,in law,identity,12,0.53,0.61,1.03,0.19,0.23,0.12
2129,2130,in_love,in love,modifier,7,2.2,2.02,0.52,0.33,0.21,0.18
2130,2131,incarcerate,incarcerates,behavior,11,-1.69,1.81,0.48,0.24,0.1,0.1
2131,2132,incite,incites,behavior,10,-0.38,1.46,1.07,0.19,0.08,0.08
2132,2133,incompetent,incompetent,modifier,10,-2.47,-2.23,-1.14,0.19,0.2,0.13
2133,2134,inconsiderate,inconsiderate,modifier,12,-2.92,-0.62,0.73,0.23,0.13,0.12
2134,2135,inconsiderate_thoughtless,inconsiderate thoughtless,modifier,2,-3.36,-1.1,0.21,0.24,0.16,0.14
2135,2136,inconspicuous,inconspicuous,modifier,7,0.68,0.18,-1.91,0.21,0.13,0.16
2136,2137,increasing_troop_movements,increasing troop movements,behavior,1,-0.15,1,1.1,0.19,0.09,0.09
2137,2138,incredulous,incredulous,modifier,9,-0.89,-0.19,0.39,0.19,0.13,0.13
2138,2139,incriminate,incriminates,behavior,16,-1.18,1.28,0.88,0.19,0.08,0.08
2139,2140,indecent,indecent,modifier,7,-2.23,-0.68,1.25,0.19,0.14,0.13
2140,2141,indecisive,indecisive,modifier,16,-1.45,-1.37,-1.27,0.16,0.16,0.13
2141,2142,independent,independent,modifier,17,2.64,2.6,0.49,0.21,0.15,0.12
2142,2143,indict,indicts,behavior,1,-0.58,1.6,0.46,0.2,0.09,0.09
2143,2144,indifferent,indifferent,modifier,12,-0.55,-0.56,-1.47,0.18,0.15,0.15
2144,2145,indignant,indignant,modifier,9,-0.78,-0.24,0.43,0.2,0.13,0.13
2145,2146,indoctrinate,indoctrinates,behavior,18,-0.96,1.34,-0.08,0.22,0.07,0.11
2146,2147,indolent,indolent,modifier,7,-0.74,-0.63,-0.23,0.2,0.15,0.13
2147,2148,indulge,indulges,behavior,13,1.05,0.98,0.35,0.18,0.08,0.09
2148,2149,indulgent,indulgent,modifier,7,-0.42,-0.13,0.49,0.2,0.13,0.1
2149,2150,industrious,industrious,modifier,16,1.97,1.99,1.52,0.21,0.14,0.14
2150,2151,inexact,inexact,modifier,7,-1.23,-0.67,-0.17,0.18,0.14,0.11
2151,2152,inexperienced,inexperienced,modifier,11,-1.12,-1.77,-0.65,0.18,0.18,0.14
2152,2153,infant,infant,identity,17,1.62,-1.97,1.04,0.22,0.25,0.14
2153,2154,infatuated,infatuated,modifier,11,0.05,-0.01,0.73,0.2,0.15,0.12
2154,2155,infect,infects,behavior,1,-1.73,1.62,0.71,0.23,0.08,0.1
2155,2156,inflame,inflames,behavior,1,-1.2,1.21,1.16,0.18,0.06,0.08
2156,2157,influence,influences,behavior,13,-0.18,1.65,0.32,0.25,0.08,0.1
2157,2158,influential,influential,identity,1,0.65,1.87,0.61,0.16,0.19,0.11
2158,2159,inform,informs,behavior,19,2.29,2.09,0.36,0.17,0.09,0.08
2159,2160,inform_on,informs on,behavior,1,2.28,2.22,0.61,0.2,0.09,0.09
2160,2161,informant,informant,identity,13,0.75,0.66,0.03,0.25,0.19,0.13
2161,2162,information_researcher,information researcher,identity,1,1.37,1.3,-0.66,0.12,0.17,0.1
2162,2163,informer,informer,identity,16,0.56,1.32,0.11,0.18,0.14,0.09
2163,2164,infuriate,infuriates,behavior,10,-1.89,1.64,1.65,0.24,0.08,0.09
2164,2165,ingrate,ingrate,identity,2,-1.93,-0.67,0.14,0.2,0.16,0.13
2165,2166,inherit_from,inherits from,behavior,1,1.11,1.36,-0.56,0.18,0.09,0.13
2166,2167,inhibited,inhibited,modifier,15,-1.05,-0.78,-0.92,0.18,0.14,0.12
2167,2168,initiate,initiates,behavior,5,0.81,1.93,0.36,0.19,0.1,0.12
2168,2169,initiate_agrarian_reform,initiates agrarian reform,behavior,1,0.8,1.93,0.42,0.17,0.09,0.1
2169,2170,inject,injects,behavior,1,-0.52,1.38,0.6,0.19,0.07,0.1
2170,2171,inject_with_medicine,injects with medicine,behavior,14,-0.3,1.33,0.43,0.22,0.08,0.1
2171,2172,injure,injures,behavior,17,-2.7,1.32,0.96,0.25,0.07,0.1
2172,2173,injured_person,injured person,identity,1,-0.44,-0.37,-0.5,0.2,0.19,0.12
2173,2174,inmate,inmate,identity,10,-1.91,-1.69,0.29,0.22,0.21,0.11
2174,2175,innocent,innocent,identity,17,1.66,-0.89,-0.88,0.19,0.17,0.15
2175,2176,innocent,innocent,modifier,11,1.81,0.33,-1.19,0.22,0.15,0.14
2176,2177,inquire_about,inquires about,behavior,2,0.77,0.71,0.28,0.15,0.07,0.09
2177,2178,inquire_after,inquires after,behavior,1,0.7,0.93,0.3,0.17,0.07,0.09
2178,2179,inquire_of,inquires of,behavior,1,0.54,0.84,0.34,0.15,0.07,0.09
2179,2180,inquisitive,inquisitive,modifier,10,2.02,1.62,0.85,0.2,0.12,0.13
2180,2181,insane,insane,modifier,11,-1.79,-0.96,1.3,0.2,0.17,0.18
2181,2182,insecure,insecure,modifier,16,-2.13,-1.28,-1.48,0.19,0.15,0.15
2182,2183,insensitive,insensitive,modifier,15,-2.19,-0.32,0.55,0.2,0.13,0.13
2183,2184,insider,insider,identity,16,0.61,1.75,-0.29,0.18,0.14,0.13
2184,2185,insincere,insincere,modifier,17,-1.59,-0.69,-0.23,0.19,0.13,0.13
2185,2186,insist_something_to,insists something to,behavior,1,0.53,0.86,0.62,0.16,0.09,0.1
2186,2187,insolent,insolent,modifier,2,-1.9,-0.34,0.68,0.2,0.12,0.12
2187,2188,inspect,inspects,behavior,17,0.45,0.9,-0.71,0.16,0.08,0.13
2188,2189,inspector,inspector,identity,10,0.58,1.42,-0.71,0.14,0.15,0.14
2189,2190,inspire,inspires,behavior,14,3.4,3.04,0.44,0.28,0.16,0.1
2190,2191,inspire_cheer_up,inspire,behavior,2,2.83,2.81,1.27,0.29,0.14,0.12
2191,2192,inspirit,inspirits,behavior,1,-1.11,0.92,0.54,0.2,0.08,0.09
2192,2193,instigate,instigates,behavior,3,-1.09,1.7,0.72,0.19,0.08,0.1
2193,2194,institution,institution,identity,1,0.58,1.57,0.04,0.24,0.21,0.17
2194,2195,instruct,instructs,behavior,17,2.34,2.41,0.43,0.21,0.1,0.09
2195,2196,instructor,instructor,identity,15,1.79,2.12,0.6,0.12,0.15,0.11
2196,2197,insult,insults,behavior,19,-2.22,0.12,1.37,0.2,0.1,0.1
2197,2198,insurance_agent,insurance agent,identity,12,0.49,0.62,0.17,0.13,0.13,0.09
2198,2199,insurance_claims_investigator,insurance claims investigator,identity,7,0.04,1.08,-0.11,0.14,0.11,0.11
2199,2200,insurance_salesman,insurance salesman,identity,1,0.32,0.5,0.38,0.12,0.12,0.11
2200,2201,intellectual,intellectual,identity,8,2.06,2.35,0.17,0.16,0.17,0.12
2201,2202,intellectual,intellectual,modifier,11,2.46,2.24,0.22,0.22,0.16,0.14
2202,2203,intellectual_2,intellectual 2,identity,1,1.91,2.04,0.22,0.26,0.27,0.15
2203,2204,intellectual_cinema,,other,2,,,,,,
2204,2205,intelligent,intelligent,modifier,17,3.02,2.95,0.63,0.26,0.18,0.13
2205,2206,intercede_with,intercedes with,behavior,1,1.49,1.58,0.7,0.17,0.07,0.08
2206,2207,intercept,intercepts,behavior,1,-0.94,1.27,0.93,0.25,0.09,0.12
2207,2208,interest,interests,behavior,13,1.53,1.66,0.03,0.22,0.09,0.11
2208,2209,interested,interested,modifier,7,2.17,1.67,0.11,0.23,0.13,0.12
2209,2210,interesting,interesting,modifier,1,2.68,2.06,0.66,0.22,0.15,0.12
2210,2211,interfere_with,interferes with,behavior,8,-1.17,0.9,0.91,0.18,0.06,0.09
2211,2212,intern,interns,behavior,1,0.51,0.47,-0.17,0.21,0.1,0.13
2212,2213,intern,intern,identity,11,1.18,-1.53,0.09,0.17,0.19,0.11
2213,2214,intern_female,intern female,identity,1,1.33,-0.84,0.24,0.15,0.24,0.1
2214,2215,internee,internee,identity,1,0.72,-0.7,-0.36,0.16,0.16,0.12
2215,2216,internet_troll,internet troll,identity,1,-1.3,-0.44,0.23,0.19,0.14,0.1
2216,2217,internist,internist,identity,2,1.01,-0.46,-0.38,0.17,0.17,0.14
2217,2218,interpreter,interpreter,identity,9,2.22,1.91,0.83,0.15,0.15,0.09
2218,2219,interrogate,interrogates,behavior,17,-0.52,1.9,0.91,0.2,0.08,0.08
2219,2220,interrogator,interrogator,identity,8,-0.61,1.87,1.04,0.18,0.15,0.12
2220,2221,interrupt,interrupts,behavior,20,-1.8,0.61,1.75,0.2,0.08,0.1
2221,2222,interrupting,interrupting,behavior,1,-1.83,0.73,1.63,0.21,0.09,0.13
2222,2223,interview,interviews,behavior,17,1.46,1.77,0.3,0.16,0.08,0.09
2223,2224,interviewee,interviewee,identity,7,0.82,1.01,1.01,0.14,0.17,0.2
2224,2225,interviewer,interviewer,identity,13,0.54,1.56,0.73,0.13,0.16,0.14
2225,2226,intimate,intimate,identity,16,1.99,1.67,-0.07,0.14,0.15,0.11
2226,2227,intimidate,intimidates,behavior,14,-1.53,1.28,1.01,0.18,0.07,0.09
2227,2228,intimidate_theaten,intimidates theaten,behavior,2,-1.87,1.2,1.06,0.19,0.07,0.09
2228,2229,intimidated,intimidated,modifier,10,-2.35,-1.33,-0.26,0.2,0.15,0.13
2229,2230,intolerant,intolerant,modifier,13,-2.35,-0.56,0.53,0.21,0.13,0.12
2230,2231,intoxicated,intoxicated,modifier,10,-1.01,-1.04,1.38,0.18,0.2,0.16
2231,2232,intriguer,intriguer,identity,1,-1.36,0.67,0.55,0.22,0.15,0.1
2232,2233,introduce,introduces,behavior,1,1.82,1.82,0.65,0.17,0.08,0.1
2233,2234,introspective,introspective,modifier,13,1.59,1.1,-1.15,0.17,0.11,0.15
2234,2235,introvert,introvert,identity,17,0,-0.9,-2.18,0.17,0.19,0.23
2235,2236,introverted,introverted,modifier,17,-0.03,-0.62,-1.83,0.17,0.13,0.15
2236,2237,intrude_on,intrudes on,behavior,1,-1.5,0.88,0.46,0.18,0.06,0.09
2237,2238,intruder,intruders,behavior,5,-2.19,0.93,0.32,0.23,0.07,0.1
2238,2239,intruder,intruder,identity,4,-2.88,0.8,-0.04,0.25,0.16,0.12
2239,2240,inuit,inuit,identity,2,0.85,-0.19,0.04,0.13,0.13,0.08
2240,2241,invader,invader,identity,2,-2.8,0.72,0.96,0.27,0.17,0.11
2241,2242,invalid,invalid,identity,17,-0.85,-1.89,-0.91,0.17,0.21,0.14
2242,2243,invasion_of_territory,invasion of territory,behavior,1,-2.18,1.11,1.37,0.34,0.15,0.13
2243,2244,investigate,investigates,behavior,1,0.86,1.57,-0.38,0.19,0.09,0.13
2244,2245,investigator,investigator,identity,7,1.71,2.01,-0.1,0.13,0.15,0.13
2245,2246,invigorate,invigorates,behavior,2,1.78,2.41,1.2,0.24,0.1,0.1
2246,2247,invincible,invincible,modifier,1,1.26,1.63,0.48,0.28,0.18,0.17
2247,2248,invite,invites,behavior,13,2.24,1.76,0.38,0.19,0.08,0.09
2248,2249,irate,irate,modifier,12,-2.14,0.07,1.27,0.24,0.13,0.14
2249,2250,irishman,irishman,identity,3,0.48,0.36,0.64,0.13,0.13,0.1
2250,2251,irked,irked,modifier,14,-1.62,-0.55,0.67,0.22,0.14,0.14
2251,2252,ironmonger,ironmonger,identity,1,-0.85,0.6,0.54,0.16,0.12,0.12
2252,2253,irrational,irrational,modifier,7,-2.22,-0.68,1.6,0.23,0.16,0.16
2253,2254,irresponsible,irresponsible,modifier,2,-2.15,-0.97,0.75,0.19,0.16,0.14
2254,2255,irritable,irritable,modifier,14,-2.02,-0.84,0.86,0.22,0.15,0.13
2255,2256,irritate,irritates,behavior,14,-2.14,0.53,1.55,0.2,0.09,0.11
2256,2257,irritated,irritated,modifier,15,-2.09,-0.63,0.37,0.21,0.13,0.13
2257,2258,irritating,irritating,modifier,7,-2.39,0,2.08,0.24,0.14,0.18
2258,2259,is_pleased_with,is pleased with,behavior,1,2.49,1.85,0.12,0.22,0.09,0.09
2259,2260,isolate,isolates,behavior,7,-1.5,1.33,-1.54,0.27,0.1,0.2
2260,2261,isolate,isolate,identity,2,-0.67,-1.05,-1.53,0.21,0.22,0.21
2261,2262,israeli,israeli,identity,1,0.58,0.28,0.21,0.15,0.14,0.09
2262,2263,issuing_joint_communiques,issues joint communiques,behavior,1,0.11,1.37,0.94,0.23,0.1,0.09
2263,2264,issuing_rhetorical_statements,issues rhetorical statements,behavior,1,0.08,1.42,1.08,0.18,0.08,0.09
2264,2265,italian,italian,identity,2,0.88,0.27,0.25,0.14,0.1,0.08
2265,2266,itinerant,itinerant,identity,1,0.2,-0.3,0.11,0.32,0.29,0.16
2266,2267,jackass,jackass,identity,10,-2.49,-0.81,2,0.25,0.17,0.17
2267,2268,jail,jails,behavior,10,-0.09,2.41,0.71,0.24,0.11,0.09
2268,2269,jailer,jailer,identity,2,0.04,1.9,0.21,0.17,0.13,0.14
2269,2270,jamaican,jamaican,identity,2,0.13,-0.45,0.75,0.14,0.14,0.1
2270,2271,janitor,janitor,identity,12,1.37,-0.86,-0.9,0.16,0.15,0.11
2271,2272,japanese,japanese,identity,3,1.02,0.37,0.26,0.11,0.14,0.09
2272,2273,japanese_national,japanese national,identity,1,1.02,1.05,0.78,0.15,0.13,0.1
2273,2274,jay_walker,jay walker,identity,1,0.78,-0.41,-0.1,0.15,0.13,0.12
2274,2275,jazz_musician,jazz musician,identity,1,1.1,0.16,1.79,0.14,0.13,0.13
2275,2276,jealous,jealous,modifier,19,-2.25,-0.06,0.55,0.19,0.12,0.11
2276,2277,jeer,jeers,behavior,14,-0.54,0.33,1.46,0.16,0.09,0.1
2277,2278,jeer_at,jeers at,behavior,3,-0.86,0.1,1.43,0.17,0.11,0.11
2278,2279,jerk,jerk,identity,14,-2.54,-0.31,1.72,0.24,0.15,0.14
2279,2280,jest,jests,behavior,12,-0.36,0.39,1.46,0.17,0.08,0.08
2280,2281,jest_with,jests with,behavior,3,0.52,0.54,1.7,0.18,0.08,0.1
2281,2282,jesuit,jesuit,identity,1,0.95,1.05,-0.1,0.17,0.13,0.11
2282,2283,jew,jew,identity,15,1.14,0.41,0.11,0.13,0.12,0.08
2283,2284,jeweler,jeweler,identity,11,0.99,0.78,-0.33,0.12,0.11,0.13
2284,2285,jewish,jewish,modifier,3,0.54,0.9,0.22,0.24,0.18,0.13
2285,2286,jinx,jinx,identity,1,-2.13,-0.45,0.55,0.29,0.19,0.15
2286,2287,jittery,jittery,modifier,9,-0.93,-0.31,1.92,0.22,0.15,0.16
2287,2288,job_changer,job changer,identity,1,-0.59,-0.18,0.22,0.24,0.17,0.11
2288,2289,job_seeker,job seeker,identity,8,0.3,-0.69,-0.15,0.21,0.16,0.12
2289,2290,jobless_person,jobless person,identity,1,0.22,-0.14,-0.28,0.22,0.23,0.15
2290,2291,jock,jock,identity,11,0.21,1.45,2.14,0.17,0.23,0.13
2291,2292,joggle,joggles,behavior,8,0.22,0.43,0.44,0.19,0.09,0.11
2292,2293,join,joins,behavior,10,1.79,1.71,0.5,0.18,0.08,0.08
2293,2294,join_up_with,joins up with,behavior,6,2.37,1.86,0.67,0.2,0.08,0.09
2294,2295,joke_about,jokes about,behavior,1,0.68,0.73,1.42,0.19,0.08,0.1
2295,2296,joke_with,jokes with,behavior,13,1.93,1.4,1.87,0.2,0.08,0.11
2296,2297,joker,joker,identity,1,-1.27,-0.46,0.87,0.28,0.17,0.16
2297,2298,jolt,jolts,behavior,11,-0.86,1.11,1.67,0.17,0.07,0.09
2298,2299,josh,joshes,behavior,14,0.21,0.46,1.08,0.16,0.08,0.09
2299,2300,jostle,jostles,behavior,12,-0.9,0.75,1.44,0.18,0.07,0.08
2300,2301,journalist,journalist,identity,8,0.99,1.4,1.06,0.12,0.15,0.1
2301,2302,joyful,joyful,modifier,12,3.41,2.75,1.59,0.3,0.17,0.17
2302,2303,joyless,joyless,modifier,16,-2.73,-1.62,-2.15,0.27,0.19,0.21
2303,2304,joyous,joyous,modifier,1,2.69,2.16,1.5,0.25,0.14,0.15
2304,2305,jp,jp,identity,1,1.15,0.81,0.46,0.19,0.14,0.13
2305,2306,jubilant,jubilant,modifier,9,2.64,2.23,2.01,0.23,0.15,0.17
2306,2307,judge,judges,behavior,13,-1.42,0.79,0,0.18,0.07,0.11
2307,2308,judge,judge,identity,20,1.14,2.5,-0.2,0.15,0.19,0.12
2308,2309,jump_on,jumps on,behavior,1,-0.32,1.23,1.84,0.22,0.08,0.11
2309,2310,jumping,jumping,behavior,1,-0.42,1.16,1.92,0.21,0.12,0.18
2310,2311,junior_college_student,junior college student,identity,1,1.28,-0.41,1.38,0.14,0.17,0.11
2311,2312,junk_dealer,junk dealer,identity,1,-1.2,-0.29,-0.42,0.22,0.15,0.12
2312,2313,junkie,junkie,identity,13,-2.07,-2.13,-0.01,0.22,0.23,0.13
2313,2314,juror,juror,identity,19,0.8,2.21,-0.98,0.14,0.21,0.15
2314,2315,jury_foreman,jury foreman,identity,6,0.43,1.18,0.02,0.12,0.14,0.1
2315,2316,juvenile,juvenile,identity,10,-0.13,-1.15,1.53,0.18,0.17,0.13
2316,2317,juvenile_delinquent,juvenile delinquent,identity,1,-0.84,-1.72,0.8,0.22,0.21,0.26
2317,2318,keep_hanging,keeps hanging,behavior,1,-0.58,0.79,-0.3,0.28,0.14,0.14
2318,2319,keypuncher,keypuncher,identity,1,-0.8,0.41,0.03,0.2,0.13,0.13
2319,2320,kick,kicks,behavior,18,-0.95,1.38,2.19,0.26,0.09,0.14
2320,2321,kicking,kicking,behavior,1,-1.32,1.07,2.28,0.22,0.1,0.14
2321,2322,kid,kids,behavior,13,0.51,0.9,0.7,0.29,0.12,0.14
2322,2323,kid,kid,identity,14,1.04,-1.13,1.89,0.18,0.22,0.14
2323,2324,kidnap,kidnaps,behavior,1,-2.82,2.03,0.77,0.31,0.12,0.1
2324,2325,kidnapper,kidnapper,identity,9,-3.43,0.83,-0.05,0.3,0.16,0.12
2325,2326,kill,kills,behavior,14,-3.11,2.06,0.31,0.37,0.12,0.13
2326,2327,killjoy,killjoy,identity,11,-2.68,0.42,-0.01,0.28,0.17,0.12
2327,2328,kin,kin,identity,1,1.31,0.8,0.6,0.22,0.2,0.1
2328,2329,kind,kind,modifier,15,2.88,2.25,-0.86,0.27,0.16,0.14
2329,2330,kindergarten_student,kindergarten student,identity,1,1.66,-1.19,0.61,0.18,0.18,0.11
2330,2331,kindergarten_teacher,kindergarten teacher,identity,2,2.14,0.15,0.5,0.14,0.26,0.08
2331,2332,kindergartner,kindergartner,identity,1,0.9,0.05,-0.46,0.17,0.14,0.11
2332,2333,kindly,kindly,modifier,8,2.56,1.88,-0.99,0.23,0.14,0.13
2333,2334,kindred_spirit,kindred spirit,identity,1,1.12,1.1,-0.36,0.19,0.2,0.13
2334,2335,king,king,identity,2,1.29,2.74,0.91,0.16,0.17,0.14
2335,2336,king_billy,king billy,identity,1,0.86,1.35,1.2,0.24,0.43,0.2
2336,2337,kiss,kisses,behavior,20,2.51,2.13,0.11,0.23,0.1,0.11
2337,2338,kissing,kissing,behavior,1,0.96,1.44,1.16,0.25,0.1,0.12
2338,2339,klutz,klutz,identity,11,-1.29,-0.95,0.24,0.2,0.17,0.12
2339,2340,knave,knave,identity,1,-0.44,0.4,-0.07,0.17,0.16,0.16
2340,2341,kneeling,kneels,behavior,1,0.75,0.73,-0.4,0.16,0.09,0.11
2341,2342,knife,knifes,behavior,12,-3.25,1.6,1.91,0.35,0.1,0.13
2342,2343,knight,knight,identity,1,1.66,2.25,0.24,0.14,0.16,0.1
2343,2344,knock_out,knocks out,behavior,11,-2.01,1.86,1.88,0.26,0.1,0.12
2344,2345,know,knows,behavior,2,2.14,1.98,0.05,0.26,0.11,0.11
2345,2346,know_it_all,know it all,identity,12,-1.33,0.18,1.66,0.28,0.15,0.16
2346,2347,knowledgeable,knowledgeable,modifier,9,3.27,3.05,0.21,0.28,0.19,0.12
2347,2348,kook,kook,identity,9,-0.16,-0.25,0.73,0.14,0.18,0.1
2348,2349,korean,korean,identity,2,0.92,0.15,0.58,0.13,0.15,0.09
2349,2350,kosovar,kosovar,identity,1,-0.31,-0.3,0.37,0.17,0.14,0.09
2350,2351,kowtow_to,kowtows to,behavior,10,-0.91,-0.88,0.24,0.16,0.2,0.14
2351,2352,labor_union_leader,labor union leader,identity,7,0.85,2.05,1.86,0.16,0.14,0.12
2352,2353,labor_union_president,labor union president,identity,1,0.65,2.14,1.53,0.16,0.17,0.13
2353,2354,laborer,laborer,identity,12,0.83,-0.3,-0.17,0.14,0.11,0.11
2354,2355,labourer,labourer,identity,1,0.58,-0.37,-0.08,0.15,0.14,0.1
2355,2356,lackey,lackey,identity,11,-0.94,-1.63,-0.51,0.15,0.18,0.11
2356,2357,lad,lad,identity,4,1.13,0.07,0.99,0.14,0.18,0.12
2357,2358,lady,lady,identity,20,1.96,1.1,0.26,0.16,0.19,0.13
2358,2359,lady_killer,lady killer,identity,7,-2,1.31,0.35,0.5,0.19,0.13
2359,2360,laid_back_person,laid back person,identity,1,0.47,0.12,-0.14,0.14,0.17,0.12
2360,2361,laid_off_worker,laid off worker,identity,7,-1.22,-2.06,-1.04,0.18,0.23,0.17
2361,2362,lame_duck,lame duck,identity,1,-0.66,-2.1,-1.38,0.17,0.25,0.2
2362,2363,landlady,landlady,identity,13,1.26,0.87,0.16,0.12,0.11,0.11
2363,2364,landlord,landlord,identity,11,0.2,2.01,0.66,0.15,0.14,0.12
2364,2365,landscape_architect,landscape architect,identity,6,1.61,1.05,-0.38,0.11,0.11,0.09
2365,2366,landscaper,landscaper,identity,6,1.23,-0.02,0.22,0.13,0.13,0.09
2366,2367,languid,languid,modifier,3,0.17,-0.28,-1.33,0.21,0.15,0.15
2367,2368,large,large,modifier,1,0.92,1.62,0.62,0.27,0.16,0.18
2368,2369,lass,lass,identity,4,1.11,0.32,1.2,0.15,0.14,0.11
2369,2370,laud,lauds,behavior,14,1.51,1.3,1.12,0.18,0.08,0.08
2370,2371,laugh_at,laughs at,behavior,16,-0.56,0.87,2.01,0.17,0.09,0.11
2371,2372,laugh_with,laughs with,behavior,17,2.04,1.63,2.18,0.23,0.08,0.14
2372,2373,laughing,laughing,behavior,1,0.39,1.12,1.67,0.26,0.11,0.19
2373,2374,laughing_stock,laughing stock,identity,1,-0.06,-0.32,0.41,0.18,0.17,0.15
2374,2375,law_breaker,law breaker,identity,7,-2.19,1.24,0.78,0.27,0.19,0.13
2375,2376,law_student,law student,identity,7,1.3,1.48,0.19,0.13,0.14,0.1
2376,2377,lawyer,lawyer,identity,20,1.11,2.53,1.68,0.15,0.16,0.14
2377,2378,lay_off,lays off,behavior,3,-1.74,1.15,-0.34,0.23,0.09,0.13
2378,2379,layman,layman,identity,1,0.54,-0.13,-0.12,0.14,0.14,0.1
2379,2380,lazy,lazy,modifier,17,-1.84,-2.02,-2.42,0.18,0.2,0.2
2380,2381,ldp_member,ldp member,identity,1,0.03,0.93,0.75,0.17,0.14,0.09
2381,2382,lead,leads,behavior,16,2.11,2.52,0.64,0.23,0.12,0.11
2382,2383,lead_astray,leads astray,behavior,1,1.55,2.36,0.41,0.27,0.12,0.09
2383,2384,leader,leader,identity,15,2.27,3.05,1.24,0.17,0.2,0.11
2384,2385,leaning_back,leans back,behavior,1,0.52,0.88,-0.4,0.18,0.09,0.12
2385,2386,leaning_forward,leans forward,behavior,1,0.65,0.95,-0.02,0.19,0.09,0.1
2386,2387,leap_on,leaps on,behavior,1,-0.4,1.1,1.59,0.19,0.09,0.11
2387,2388,learn_something_from,learns something from,behavior,1,2.42,2.05,-0.16,0.22,0.1,0.1
